lsoa,air_quality,house_price,job_accessibility,greenspace_accessibility
E01008162,18.76167054946063,7.6283417200826165,4008.720248396358,419859.9834900081
E01008163,19.640455651280746,7.470805170058909,5377.382677652853,500706.94496667734
E01008164,17.384791022997554,7.361892749094281,2316.463174750881,465797.3010600102
E01008165,17.9001220234761,7.4915328003521156,3282.9159448805176,345752.20821999304
E01008166,18.186794621070312,7.629975427154592,8423.370418839522,173323.30055000493
E01008167,19.691703817412353,7.452106389984628,4520.468278720843,377299.2624200161
E01008168,18.891281253141617,7.566948575922458,6170.086104980206,195206.2982000076
E01008169,19.223567362521955,7.496832949887714,5877.587590286681,541988.510470018
E01008170,19.62681731152892,7.218041915840742,3237.3652636821957,481272.0576250147
E01008171,18.28052908176009,7.400228548118038,3836.3414129605576,646483.3178100295
E01008172,17.180648674853153,7.843509156056182,1303.872888179529,37074.1360083393
E01008173,15.69849565017607,7.8065803729264704,862.8398953785256,48201.520890011416
E01008174,15.146895554226589,7.877902952118739,1295.924924218967,80522.08924998473
E01008175,15.031270704970908,7.851599946504988,2178.774015748276,128589.63909998648
E01008176,16.970374274554864,7.850733020058,546.1434874053987,47823.91315999422
E01008177,13.773060355014085,7.800096513750579,2717.8726099152054,416578.6115499969
E01008178,13.940707445343753,7.732461732656015,2534.029699523784,584493.7105199978
E01008179,13.020617110722906,7.9813531457819735,1710.6160950697808,167207.64393751565
E01008180,13.323894133309324,7.7990605173638485,2206.913146358268,237524.45050000952
E01008181,13.925720156330183,7.864561406060149,829.7691654779712,1634927.0259599793
E01008182,13.737764515064706,7.842151310240251,1549.7765308785956,489986.13714165956
E01008183,12.562576368477442,7.905753300352849,184.79999999999995,52166.943639994635
E01008184,12.891040713334514,8.034924174916913,650.6,547109.0902499962
E01008185,13.025106830569495,7.909916634342625,743.0,559860.484319995
E01008186,12.437607160062923,7.669049289270717,1376.9536005618488,96937.98284998504
E01008187,12.255971228936714,7.772144459916679,1301.8707267218795,64139.34514999108
E01008188,12.568933208802239,7.976175020625509,348.8,1284485.4595900092
E01008189,15.093344070321029,7.6246892011405665,1009.3370792139107,88268.17741999583
E01008190,15.06286301833847,7.811597448454641,941.3114042657214,150343.79950999323
E01008191,14.56817138287852,7.767544630677499,928.3246652461991,132526.14570831988
E01008192,17.833826133394645,7.683068979012603,1748.3978363196068,224275.34850999355
E01008193,17.222531637092057,7.764611097095931,2571.663704288865,92058.31257499565
E01008194,16.53765627972499,7.591510716533882,1602.540342505101,87953.33485999702
E01008195,12.486308969674505,7.956086150650989,913.9471532285746,57874.45995712727
E01008196,12.296631455733962,7.936667965042943,435.0,65989.20597857531
E01008197,12.81994457405114,7.87833033022666,784.176070979739,125902.63056666205
E01008198,12.843784297430158,7.790333098896548,1038.91893866749,161813.85998000065
E01008199,12.796938086874004,7.861380377157414,1248.349166698123,165417.20899000028
E01008200,12.649456541865053,7.875100331195098,524.5703163761838,27284.08044000029
